TICKER,WEIGHT
LYB,0.0418797477533344
FLO,0.0373019008516576
RHI,0.0347574301245731
PRGO,0.0344723773898171
UPS,0.031181768627196
MO,0.0281912153748444
VZ,0.0280221841040593
NSP,0.0260398173662128
PFE,0.0259828068192616
BEN,0.0256847516790606
TGT,0.023524352005121
BMY,0.0230382620784845
EIX,0.0225261673409581
UVV,0.0223641373654126
SON,0.0222951245980506
SWK,0.0213939578822082
AES,0.0211699164345404
CVX,0.0202337432424999
MAIN,0.0201777328805829
WSBC,0.0198826782954847
SFNC,0.0198436710791496
HRL,0.0194616003960733
TRN,0.0192665643143982
AUB,0.0187854753129329
USB,0.0187624710571456
NXST,0.0178613043413031
RF,0.017856303416132
UBSI,0.0178142956446943
PRU,0.0174222231112756
AVA,0.0173772147847352
TROW,0.0170371518730965
ES,0.0165010526947485
SJM,0.0159949590674275
PII,0.0154358556332922
PNW,0.0150227792141546
BBY,0.0149277616359026
POR,0.0148157409120687
SWKS,0.0147247240739537
PSX,0.014708721113406
ASB,0.0143596565364592
NWN,0.0141016087976276
HPQ,0.0139165745662948
ADM,0.0137425423703385
NWE,0.0136895325635243
WAFD,0.013286457994729
UGI,0.0132144446722644
BKH,0.0130934222831224
EVRG,0.0127313553007306
SR,0.0126093327265544
WLY,0.0115151302991053
