TICKER,WEIGHT
NVDA,0.115731168651207
AAPL,0.0983025345277358
GOOGL,0.0825954350328168
MSFT,0.0776967265427754
META,0.0361651149220296
LLY,0.0201871869396242
XOM,0.0167959780947808
WMT,0.014243852675197
V,0.0134773530960245
MU,0.0118278718537436
COST,0.0115229236467358
MA,0.0106306536442709
ABBV,0.0103660088474031
HD,0.0087236841318339
CAT,0.0085015474347422
GE,0.0084246237721831
BAC,0.0081929387499952
CSCO,0.0079772841483499
KO,0.0078258067734832
MRK,0.0075392464639398
AMAT,0.0070419963384984
LRCX,0.0068408298042083
UNH,0.0064937108274912
GS,0.0061832193609635
WFC,0.0061195976638968
LIN,0.0059542985413148
PEP,0.0056319302554353
INTC,0.0052756369466518
AMGN,0.005154455700794
T,0.0050926971116252
CRM,0.0049337429482837
ABT,0.0048743367393128
C,0.0048636243585461
MS,0.0048585442847258
KLAC,0.0048062101984284
TMO,0.0046693631502546
GILD,0.0046623446928278
DIS,0.0046141203442053
TJX,0.0045049243617258
AXP,0.0042407213865695
SCHW,0.0039933528291632
UBER,0.0039233719434012
COP,0.003919165724477
DE,0.0038075572266182
UNP,0.00373458714304
QCOM,0.0036731619359576
BKNG,0.0035864633245383
ETN,0.0035369644868239
LOW,0.0034743760779263
PANW,0.0034735437934604
BLK,0.0034327747284825
SPGI,0.0033891171942077
NEM,0.0032763669641534
PLD,0.0032070997561921
CB,0.0031664365252601
ACN,0.0031532151258582
BMY,0.0030763366560124
DHR,0.0030595350104617
NOW,0.0030484354371184
SYK,0.0029721944142791
ADBE,0.0029715548238317
COF,0.0029336430404249
SBUX,0.0029232809868114
CME,0.0028868019154075
MDT,0.0028776337495848
TMUS,0.0026886264494928
BSX,0.0026063538719258
GLW,0.0025758690056815
CVS,0.0024943539210165
EQIX,0.0024269137213587
TT,0.002413717739557
ICE,0.0023420313350187
WM,0.0023348002500129
WDC,0.0023163144936873
WMB,0.002314828274885
FCX,0.0022136830433038
PWR,0.0022089563731567
MMC,0.0021638579580364
AMT,0.0021593038018736
BK,0.0021381683564501
STX,0.0021189011816683
JCI,0.0020850258892344
PNC,0.0020570105266098
ORLY,0.0020569347007367
USB,0.0020469441270014
CDNS,0.0020413974300536
REGN,0.002000557336637
CMI,0.0019183081036504
CSX,0.001912452724802
EMR,0.0019084832218595
VLO,0.0018929790094613
SHW,0.0018884016011458
EOG,0.0018631650094164
CI,0.0018415782266361
PSX,0.0018305884177141
MAR,0.0018293248923005
CL,0.0018287951498994
ECL,0.001826032892742
MPC,0.0018192565385077
GM,0.0018102846669801
MDLZ,0.0017994687188451
ITW,0.0017967553206973
HLT,0.0017898714071011
WBD,0.0017659864947447
ABC,0.0017630577754125
AON,0.001761661832004
TRV,0.0017498134627592
RCL,0.001733907999981
SLB,0.0017274678578794
MCO,0.0016910156609114
ANTM,0.0016870101243943
NSC,0.0016691975581629
NKE,0.0016676073714726
KMI,0.0016659681277134
APD,0.0016541159117184
SRE,0.0015778392866334
PCAR,0.001550300485308
AZO,0.0015334872995066
TEL,0.0015077146538889
TFC,0.0014775563829016
DLR,0.0014567470617943
TGT,0.0014023694400484
ALL,0.001394842511781
AFL,0.0013941825388389
FTNT,0.0013813151945049
ADSK,0.0013710666156221
CAH,0.0013675480451153
AJG,0.0013612216242181
OKE,0.0013516744434641
TRGP,0.0013389929491021
FAST,0.0013313019397719
ZTS,0.001321105023537
EXC,0.0013051818278564
GWW,0.0012836328699863
EW,0.0012782842850771
AME,0.0012671113197885
KEYS,0.0012243171080605
URI,0.0012218234104065
APO,0.0011977475689593
ETR,0.0011972625087189
F,0.0011933816570845
PSA,0.0011929006724627
KR,0.0011885133613891
RSG,0.0011880031872392
BDX,0.001169237102291
EA,0.0011615969017534
CARR,0.0011609048036054
DELL,0.0011578852851229
YUM,0.0011356991531279
WAB,0.0011069869037234
EBAY,0.0011028729759957
AIG,0.0010994442451524
AMP,0.0010745408462528
PEG,0.0010724504719987
OXY,0.0010650603410358
PYPL,0.0010643052644563
ROK,0.0010566047570861
ED,0.0010456836527077
EQT,0.0010336208381405
FITB,0.0010191826420977
VTR,0.0010107041360939
MET,0.001008273104378
DHI,0.0010051426331189
NDAQ,0.0009875362773475
HIG,0.0009846272362994
DAL,0.000973840790186
KDP,0.000942364276624
TTWO,0.0009130209753252
RMD,0.0009096737436514
ADM,0.0009042206759002
FANG,0.0008876802836683
STT,0.0008709115599618
ACGL,0.0008665404017183
HSY,0.0008560064591073
IRM,0.0008548629707867
OTIS,0.0008412299338988
A,0.0008317537859847
KMB,0.0008271041256647
HAL,0.0008247491486903
HBAN,0.0008183924335347
PRU,0.0008165740914224
CBOE,0.0008136282773786
MTB,0.0008040365553061
FISV,0.0008027071333885
EXR,0.0007987377580842
DVN,0.000783241538476
GEHC,0.0007829310520357
IR,0.0007690267356311
DOV,0.0007510482309815
TPR,0.0007501320618328
ULTA,0.0007492393340935
BIIB,0.0007347830354377
UAL,0.0007249020456696
XYL,0.0007243308516738
WAT,0.0007225007140345
CNP,0.0007219491939215
VRSK,0.0007197975313413
IQV,0.0007178235322852
EXPE,0.0007111909250335
ES,0.0007082725487941
JBL,0.0006978094365625
NTRS,0.0006818929044744
CFG,0.000681511380793
AWK,0.0006796134848929
CCL,0.0006698406926776
FIS,0.0006679880026947
CHK,0.0006595431579562
DOW,0.0006491676407168
TSCO,0.0006486800893315
OMC,0.00064212677619
AVB,0.0006413865364469
MTD,0.000635395112919
RJF,0.0006314424406092
HUBB,0.0006238463500612
SYF,0.0006227652856062
RF,0.0006214971124029
CHD,0.0006170310969956
PHM,0.0006096038761422
DRI,0.0005913474151794
PPG,0.0005900472840202
DGX,0.0005891884772237
STZ,0.0005834102182353
VLTO,0.0005636746465956
WSM,0.0005601429073512
CF,0.0005584741923798
BR,0.0005568305120941
GIS,0.0005479294313339
CHRW,0.0005440102002235
ALB,0.0005277262638759
LUV,0.0005275796208273
SW,0.0005264960080104
TROW,0.0005243922625582
EL,0.0005159686233604
HUM,0.0005080723058399
EQR,0.0005057056169635
SBAC,0.0004979962585467
MRNA,0.0004976774096059
NTAP,0.0004966278365674
KHC,0.000494561770782
KEY,0.0004940586783496
CSGP,0.0004751560821824
IFF,0.0004730505982102
LYB,0.0004721753392944
AMCR,0.0004662170840843
LVS,0.0004654846654799
FTV,0.0004633662416386
WY,0.0004502006949375
PFG,0.0004466080854919
HPQ,0.0004433556361595
VTRS,0.0004421738167773
GPN,0.0004404213887744
CNC,0.0004358893360209
BLL,0.0004326083353512
JBHT,0.0004233201896526
LII,0.0004169090302173
BG,0.0004112095679903
KIM,0.0004082428388927
PNR,0.0003979308106375
AKAM,0.0003949935703574
DECK,0.0003948188293072
INCY,0.0003924964704861
APTV,0.0003916682748429
RE,0.0003695766170972
RL,0.0003641372550442
AVY,0.0003630875543675
MKC,0.0003618753615032
MAS,0.0003480134253709
FOXA,0.00033873252864
HAS,0.0003327942906154
CLX,0.0003315429700513
BBY,0.0003263011610697
ALLE,0.0003248817586465
REG,0.0003234102226346
PEAK,0.0003170840570137
APA,0.0003159894981238
JKHY,0.0003152486818083
SJM,0.0003137944693764
HST,0.0003100661585541
AIZ,0.0002990636166247
NLOK,0.0002860912656921
IVZ,0.0002703393076141
SWK,0.0002695230659453
MOS,0.0002580382454072
BAX,0.0002365982377149
MGM,0.0002206392945452
NCLH,0.0002190146191423
FRT,0.0002184853784912
NWSA,0.0002165225411726
CRL,0.000209903093856
FDS,0.0002098684819065
ARE,0.0002090462280399
TAP,0.0002055040620778
BXP,0.0002048118318903
CAG,0.0001995800138962
FOX,0.0001973733216612
BEN,0.0001948534141701
MTCH,0.0001840406789958
HRL,0.0001756815234797
DVA,0.0001544714845516
LW,0.000153464648292
CPB,0.0001157278744158
NWS,0.0000877344347464
PSKY,0.0000784199207634
