TICKER,WEIGHT
NVDA,0.0659224196403461
AMZN,0.0597651661786358
GOOGL,0.0580891111221401
LLY,0.0419572104488229
ORCL,0.0364906446970073
SU,0.0336896372028389
MSFT,0.0316444571277317
AVGO,0.0297285225073205
MU,0.0278539464324119
QCOM,0.0238556090459411
ENR,0.0235175029364567
SHOP,0.0205820801694046
NOW,0.0192999652588218
CYBR,0.014318328453025
ETN,0.0141342829255381
NEE,0.0139109467798236
TEAM,0.0133774215428392
MDGL,0.013057926778831
ABBV,0.0127911641603388
COIN,0.0127580773239367
NBIX,0.0124664995781428
ARGX,0.0124096315780767
TSLA,0.0123941221235132
RMBS,0.0123662051052989
HALO,0.011594868231674
MRVL,0.0114149585587374
AMD,0.0108586861217265
FOLD,0.0103034476483531
ASND,0.0102455456846494
WDAY,0.0098164507750591
MDB,0.0095693334656807
PANW,0.0092849934653498
TOST,0.0091154234287889
DT,0.0091081856833259
ANET,0.008986177974093
MIRM,0.0086770228464605
NFLX,0.0085560491008652
CLBT,0.0084278376098069
META,0.0082375883004947
GEV,0.0082241467732063
XMTR,0.0081517693185766
VRTX,0.0080545767366453
MRK,0.0077144026998859
DDOG,0.00762341389978
BMI,0.007406281535891
XYZ,0.0073318361539861
INTA,0.0073287342630734
ZS,0.0071322811719358
GRAB,0.0067621221896868
OKTA,0.0065056992075703
AGYS,0.0064767482257184
TW,0.0064281519347528
IDYA,0.0063919632074379
CRS,0.0061241666253081
ISRG,0.006021804225189
BKR,0.0060104306251758
CEG,0.0057860605158238
AKAM,0.0057612453885222
CART,0.0056712905520539
ABNB,0.0056506112793025
MOD,0.0054293430608632
DRS,0.00537971280626
RBRK,0.0051284596423313
PINS,0.0050860671331911
SEI,0.0049640594239582
BWXT,0.0049247688057306
V,0.0049154631329925
SEMR,0.0047076364418416
MIR,0.0047066024782041
LBRT,0.0046673118599765
RDDT,0.0045939004417093
AVAV,0.0041534319321058
MNDY,0.003931129750029
MELI,0.0038556504044866
SNPS,0.0037574238589177
IONQ,0.0031370456763777
RKLB,0.0026883054576737
RGTI,0.0026304034939699
OKLO,0.0024908184028984
CFLT,0.0024701391301471
LUNR,0.0024329164391947
SPSC,0.0024112032028058
INDI,0.002322282329975
FLY,0.0021847651661786
CRCL,0.0020761989842341
SMR,0.0018197760021176
