TICKER,WEIGHT
ADM,0.0831613449418256
PEP,0.0798188478817907
MDLZ,0.0748085908506796
KHC,0.071311599952729
CTVA,0.0690897248141873
MNST,0.0522426869725837
TSN,0.0430068683775025
HSY,0.0428014348109611
KDP,0.0403996208264354
TAP,0.0398325061425725
GIS,0.0378959812897668
CAG,0.0368908846042794
USFD,0.0315218747011317
BG,0.0301185252769059
COKE,0.0291931955742006
KO,0.0288265989099257
SJM,0.0287378375603107
INGR,0.0267329346762663
HRL,0.0233713348436558
CALM,0.0214457102027429
POST,0.0200031669730424
MKC,0.0190743058867821
SEB,0.0168329482441223
LW,0.0162097991999309
BF.B,0.0131865850925131
MZTI,0.0062766245903494
TR,0.0048927235303395
CELH,0.0047606596080878
FIZZ,0.0043325476318372
BRBR,0.0032225360325419
